,kalori,protein,karbohidrat,lemak
Jagung Kuning pipil lama,355.0,9.2,73.7,3.9
Jagung kuning pipil rebus,154.0,3.8,28.4,3.5
Jagung Kuning segar,140.0,4.7,33.1,1.3
Jagung kuning tepung,355.0,9.2,73.7,3.9
Jagung muda,35.0,2.2,7.4,0.1
Jagung muda kuning mentah,147.0,5.1,31.5,0.7
Jagung muda rebus,142.0,5.0,30.3,0.7
Jagung pipil var. harapan kering,367.0,6.2,76.2,5.1
Jagung pipil var. metro kering,368.0,5.5,78.0,4.6
Jagung Putih giling,361.0,8.7,72.4,4.5
Jagung Putih muda,129.0,4.1,30.3,1.3
Jagung Putih pipil baru,307.0,7.9,63.6,3.4
Jagung Putih pipil lama,355.0,9.2,73.7,3.9
Jagung Putih segar,140.0,4.7,33.1,1.3
Jagung Rebus ,175.0,1.8,35.0,1.8
Jagung Sayur (tumis) ,148.9,10.4,20.1,10.4
Jagung titi,374.0,9.4,79.1,2.2
Jahe,51.0,1.5,10.1,1.0
Jali,289.0,11.0,61.0,4.0
Jam selai,239.0,0.5,64.5,0.6
Jambal goreng,286.0,48.5,2.3,9.2
Jambu Air,46.0,0.6,11.8,0.0
Jambu Biji,49.0,0.9,12.2,0.3
Jambu biji putih tidak berbiji,61.0,0.9,15.4,0.3
Jambu Bol,56.0,0.6,14.2,0.3
Jambu Monyet buah,64.0,0.7,15.8,0.6
Jampang huma mentah,350.0,6.2,78.2,1.4
Jamur Coklat (kulat siau),45.0,2.5,0.0,3.9
Jamur encik,296.0,9.4,62.0,1.1
Jamur kuping kering,294.0,16.0,64.6,0.9
Jamur kuping segar,21.0,3.8,0.9,0.6
Jamur merang segar,30.0,3.5,4.0,0.2
Jamur Putih (kulat putih),48.0,2.8,2.9,4.1
Jamur sagu,48.0,1.9,2.8,3.2
Jamur tiram segar,30.0,1.9,5.5,0.1
Jangang bintatoeng masakan,107.0,5.3,16.5,2.2
Jantung Pisang segar,31.0,1.2,7.1,0.3
Japilus,500.0,1.2,67.3,25.1
Jaruk Tigarun,48.0,2.5,0.0,4.2
Jawawut,334.0,9.7,73.4,3.5
Jenang ,381.7,9.5,65.8,9.5
Jengkol segar,192.0,5.4,40.7,0.3
Jeruk Bali,48.0,0.6,12.4,0.2
Jeruk banjar segar,61.0,0.8,14.1,0.2
Jeruk Garut,44.0,0.8,10.9,0.3
Jeruk Kalamansi segar,39.0,0.3,8.9,0.3
Jeruk Manis,45.0,0.9,11.2,0.2
Jeruk Nipis,37.0,0.8,12.3,0.1
Jeruk ragi segar,49.0,0.7,11.1,0.2
Jotang,32.0,1.9,7.1,0.3
Jukku pallu kaloa masakan,15.0,15.2,8.8,4.3
Kabau segar,130.0,6.7,25.2,0.3
Kaburan ubi segar,133.0,1.0,32.2,0.2
Kabuto,250.0,2.6,35.4,2.5
Kacang Andong,356.0,20.5,61.6,4.1
Kacang Arab,330.0,23.8,60.2,1.4
Kacang atom,533.0,27.8,28.8,38.1
Kacang babi kering,341.0,30.4,51.3,3.2
Kacang belimbing (kecipir) kering,400.0,34.4,34.1,16.9
Kacang Belimbing rebus,204.0,16.9,17.5,8.8
Kacang Belimbing tempe,212.0,17.5,12.9,10.0
Kacang beracun segar,118.0,4.4,21.6,1.5
Kacang Bogor goreng,479.0,12.7,58.9,23.2
Kacang bogor kering,370.0,16.0,65.0,6.0
Kacang Bogor rebus,161.0,7.7,27.1,2.8
Kacang bogor segar,165.0,7.7,27.4,3.1
Kacang Endel biji,331.0,25.0,58.0,1.0
Kacang ercis segar,129.0,12.4,18.3,0.7
kacang galing segar,336.0,23.1,59.5,1.7
Kacang goyang,516.0,14.7,44.4,31.1
Kacang Gude biji,336.0,20.7,62.0,1.4
Kacang gude biji kering,316.0,20.7,58.0,1.0
Kacang Gude biji muda,114.0,7.0,20.8,0.6
Kacang Gude muda,123.0,8.4,1.8,0.6
Kacang gude rebus,147.0,9.0,27.5,0.5
Kacang hijau kering,323.0,22.9,56.8,1.5
kacang hijau rebus,109.0,8.7,18.3,0.5
Kacang hijau var. bakti kering,350.0,17.1,70.7,1.8
Kacang hijau var. siwalik kering,339.0,20.8,64.6,2.1
Kacang hitam kering,346.0,16.6,66.1,1.7
Kacang Ijo,345.0,22.2,62.9,1.2
Kacang Kapri Goreng ,445.0,11.0,65.5,11.0
Kacang Kapri muda,98.0,6.7,17.7,0.4
Kacang Kedelai basah,286.0,30.2,30.1,15.6
Kacang kedelai goreng,521.0,32.2,22.9,37.7
Kacang kedelai kering,381.0,40.4,24.9,16.7
Kacang Kedelai kukus,75.0,4.1,10.7,2.1
Kacang kedelai rebus,189.0,20.2,12.7,8.2
Kacang kedelai segar,286.0,30.2,30.1,15.6
Kacang komak segar,327.0,16.4,55.8,4.3
Kacang kuning kering,355.0,17.0,66.0,2.5
Kacang lebui /iris kering,346.0,16.5,66.6,1.5
Kacang mekah polong segar,22.0,1.1,3.4,1.0
Kacang mentega kering,344.0,16.7,64.6,2.1
Kacang Merah,336.0,23.1,59.5,1.7
Kacang merah /banda kering,350.0,13.9,66.9,3.0
Kacang merah kering,314.0,22.1,56.2,1.1
Kacang Merah kering rebus,158.0,10.3,28.2,0.9
Kacang merah segar,171.0,11.0,28.0,2.2
Kacang Merah segar rebus,144.0,10.0,24.7,1.0
Kacang merah tua kering,280.0,16.7,63.2,1.6
Kacang mete/biji jambu monyet goreng,629.0,20.4,19.8,56.3
Kacang mete/biji jambu monyet segar,616.0,16.3,28.7,48.4
Kacang negara,480.0,18.4,58.5,19.1
Kacang Panjang,44.0,2.7,7.8,0.3
Kacang Panjang biji,357.0,17.3,70.0,1.5
Kacang Panjang kukus,39.0,3.0,7.6,0.6
Kacang Panjang tumis,150.0,2.5,7.0,12.5
Kacang ranti polong,37.0,3.1,7.9,0.2
Kacang sukro,484.0,8.8,57.7,26.1
Kacang Sukro Putih ,488.0,25.6,59.6,25.6
Kacang Tanah atom,535.0,27.8,28.8,38.1
Kacang tanah goreng,564.0,25.5,25.5,44.4
Kacang Tanah kacang sari,561.0,25.5,26.0,43.8
Kacang tanah kering,525.0,27.9,17.4,42.7
Kacang Tanah Rebus ,385.0,14.0,13.0,31.0
Kacang Tanah rebus berkulit,360.0,13.5,12.8,31.2
Kacang Tanah rempeyek,513.0,17.5,44.3,32.5
Kacang Tanah sangan berselaput,569.0,28.8,15.8,48.4
Kacang tanah sangan tanpa selaput,559.0,26.9,23.6,44.2
Kacang tanah sari,561.0,25.5,26.0,43.8
Kacang Telur ,748.0,20.8,124.8,20.8
Kacang tolo / tunggak kering,331.0,24.4,56.6,1.9
Kacang tolo rebus,138.0,10.7,22.6,1.1
Kacang Tunggak (tolo),342.0,22.9,61.6,1.4
Kacang Tunggak rebus,138.0,10.7,22.6,1.1
Kacang Tunggak rempeyek,451.0,11.2,59.7,20.2
Kacang tunis kering,351.0,12.2,72.9,1.2
Kacang uci kering,358.0,23.4,60.6,2.4
Kacang urei kering,354.0,12.8,69.3,1.8
Kadada katembe,110.0,4.5,7.1,6.9
Kaholeo masakan,413.0,28.7,29.8,19.8
Kakap,92.0,20.0,0.0,0.7
Kalakai,66.0,2.8,3.4,6.8
Kalio jeroan masakan,163.0,16.5,4.1,9.0
Kalio kikil (tunjang) masakan,122.0,13.8,3.9,5.7
Kalio otak masakan,157.0,8.1,11.4,8.8
Kalio telur masakan,193.0,10.6,9.7,12.4
Kambing daging segar,149.0,16.6,0.0,9.2
Kambose,164.0,3.0,32.6,2.4
Kangkung,29.0,3.0,5.4,0.3
Kangkung kukus,30.0,3.2,4.7,0.7
Kangkung rebus,22.0,2.5,3.1,0.6
Kangkung tondano,43.0,1.8,8.4,0.2
Kangkung tumis,52.0,1.8,3.0,3.6
Kaparende sayur,38.0,2.4,2.6,2.0
Kapri Muda,42.0,3.3,9.6,0.2
Kapurung,41.0,2.0,7.8,0.3
Kapusa,158.0,4.4,27.8,3.2
Karawila,25.0,2.3,3.5,0.2
Karedok ,146.7,5.9,19.7,5.9
Karedok sayur,92.0,2.2,14.1,3.3
Karoket ,292.0,11.2,2.8,11.2
Katak,73.0,16.4,0.0,0.3
Katul Beras,275.0,12.6,54.6,14.8
Katul Jagung,356.0,9.0,64.5,8.5
Kawista segar,120.0,3.5,20.8,2.5
Kecap,46.0,5.7,9.0,1.3
Kecimpring singkong goreng,464.0,1.2,73.0,18.6
Kecipir biji,405.0,32.8,36.5,17.0
Kecipir buah muda,35.0,2.9,0.8,0.2
Kecipir muda segar,32.0,2.9,5.8,0.2
Kecombrang segar,34.0,0.9,6.7,1.0
Kedondong segar ,47.0,0.5,10.4,0.2
Keju,326.0,22.8,13.1,20.3
Keju Kacang Tanah,590.0,27.0,20.9,49.0
Kelapa hutan kering,623.0,2.0,36.5,52.1
Kelapa Muda air,17.0,0.2,3.8,0.1
Kelapa Muda daging,68.0,1.0,14.0,0.9
Kelapa Setengah Tua daging,180.0,4.0,10.0,15.0
Kelapa Tua daging,359.0,3.4,14.0,34.7
Kelepon ,214.0,5.4,40.2,5.4
Kelewih,111.0,1.5,27.2,0.3
Kelinci daging segar,142.0,16.9,0.0,7.8
Kemang,48.0,1.0,11.9,0.2
Kembang tahu,380.0,48.9,23.3,13.8
Kembang Turi,44.0,1.8,9.6,0.6
Kemiri,636.0,19.0,8.0,63.0
Kenari,657.0,15.0,13.0,66.0
Kenari banda kering,616.0,13.9,13.7,56.2
Kentang,83.0,2.0,19.1,0.1
Kentang Hitam,142.0,0.9,33.7,0.4
Keong,64.0,12.0,2.0,1.0
Kepala Susu (Krim),204.0,2.6,4.0,20.0
Kepiting,151.0,13.8,14.1,3.8
Kerang,59.0,18.0,3.6,1.1
Kerang asap mentah,393.0,38.9,29.4,13.3
Kerang dendeng mentah,357.0,41.1,25.6,10.0
Kerbau daging segar,79.0,18.7,0.0,0.5
Keremes,475.0,1.6,64.4,25.5
Keribang ubi segar,137.0,1.3,29.8,1.1
Keripik bayam,586.0,4.9,50.2,40.6
Keripik gadung,446.0,2.8,76.0,14.5
Keripik kentang,448.0,2.7,67.1,18.8
Keripik lampung,485.0,1.7,69.7,22.2
Keripik oncom,598.0,8.3,42.6,43.8
Keripik singkong,478.0,0.9,72.0,20.7
Keripik singkong berbumbu,481.0,2.2,73.6,19.7
Keripik tempe,581.0,12.1,41.7,40.6
Keripik tempe abadi murni,542.0,40.3,11.6,42.4
Keripik tempe abadi sedang,510.0,12.3,52.4,27.9
Keripik tempe abadi telur,529.0,20.8,40.2,31.7
Keripik ubi,486.0,0.2,67.6,23.9
Kerokot segar,26.0,1.7,3.8,0.4
Kerupuk Aci,350.0,0.5,85.9,0.2
Kerupuk cumi goreng,444.0,6.9,71.3,14.6
Kerupuk Ikan berpati,342.0,16.0,65.6,0.4
Kerupuk kemplang  (ikan) mentah,325.0,1.8,78.5,0.4
Kerupuk kemplang goreng,504.0,5.6,57.1,28.1
Kerupuk kemplang panggang,356.0,9.7,76.9,1.1
Kerupuk Kulit kerbau,422.0,83.0,0.0,4.0
Kerupuk Melinjo mentah,345.0,12.0,71.5,1.5
Kerupuk Melinjo tebal goreng asin,431.0,11.1,63.0,16.2
Kerupuk Melinjo tebal goreng manis,439.0,10.0,65.7,16.4
Kerupuk Melinjo tipis goreng,485.0,11.5,59.1,24.5
Kerupuk mie kuning goreng,476.0,0.1,71.3,21.1
Kerupuk Sayong ,46.7,17.3,81.3,17.3
Kerupuk Udang ,340.0,30.0,52.0,30.0
Kerupuk Udang berpati,359.0,17.2,332.0,68.2
Kerupuk udang goreng,477.0,4.7,68.5,20.5
Kerupuk urat,588.0,53.7,1.2,40.9
Kesemek,78.0,0.8,20.0,0.4
Ketan hitam matang,181.0,4.0,37.3,1.2
Ketan putih matang,163.0,3.0,35.7,0.4
Ketapang ,340.0,11.0,54.0,11.0
Ketela Pohon Kuning,157.0,0.8,37.9,0.3
Ketela singkong segar,154.0,1.0,36.8,0.3
Ketela pohon/singkong kukus,153.0,1.2,36.4,0.3
Ketimun,12.0,0.7,2.7,0.1
Ketimun madura segar,9.0,0.5,1.9,0.1
Ketoprak,153.0,7.9,13.0,7.7
Ketumbar,404.0,14.1,54.2,16.1
Ketupat ketan,212.0,4.0,38.6,4.6
Ketupat Tahu ,109.6,2.6,18.6,2.6
Kluwek,310.0,10.0,13.5,24.0
Kodok segar,73.0,16.4,0.0,0.3
Kokosan,86.0,1.6,13.0,0.2
Komak polong segar,99.0,3.3,21.2,0.1
Kool Kembang,25.0,2.4,4.9,0.2
Kool Merah kool putih,24.0,1.4,5.3,0.2
Kopi bagian yang larut,352.0,17.4,69.0,1.3
Kopi bubuk instant,129.0,12.3,35.0,0.5
Koro andong kering,356.0,20.5,61.6,4.1
Koro Benguk biji,332.0,24.0,55.0,3.0
Koro Benguk tempe,141.0,10.2,23.2,1.3
Koro Kerupuk biji,125.0,8.3,22.1,0.7
Koro Loke biji,33.0,2.7,7.9,0.2
Koro Roway biji,344.0,12.5,69.4,2.1
Koro Wedus biji,338.0,22.2,61.0,1.5
Koro Wedus buah muda,38.0,3.0,7.9,0.3
Koro wedus polong,46.0,3.0,7.9,0.3
Kotiu hinela tawang nggole,46.0,2.2,6.0,1.5
Koya,366.0,4.2,77.5,4.3
Koya mirasa,370.0,8.0,82.2,1.0
Kranji segar,315.0,2.1,73.5,1.4
Kripik Tempe Goreng ,542.0,40.3,11.5,42.4
Krokot,21.0,1.7,3.8,0.4
Kucai,45.0,2.2,10.3,0.3
Kucai Muda (Lokio),42.0,3.8,7.8,0.6
Kuda daging segar,113.0,18.1,0.9,4.1
Kue ali,440.0,3.8,64.5,18.5
Kue Apem ,186.7,1.6,39.6,1.6
Kue bangket,338.0,1.5,80.3,1.2
Kue Bugis ,240.0,1.0,54.0,4.0
Kue jahe,425.0,1.6,84.6,8.8
Kue kelapa,591.0,5.6,47.5,42.1
Kue Koya ,366.0,4.2,7.9,4.3
Kue lumpur,291.0,3.6,44.1,11.1
Kue mangkok ,182.0,1.0,40.4,1.0
Kue Pacar Cina ,126.7,0.7,57.3,0.7
Kue Pia ,296.0,1.4,66.4,1.4
Kue putu cangkir,304.0,5.3,54.9,7.0
Kue putu singkong,217.0,1.2,53.2,0.5
Kue Satu ,393.3,2.7,79.3,2.7
Kue Semprong ,380.0,1.0,92.0,1.0
Kue sus,221.0,7.5,24.8,10.2
Kue Talam ,180.0,5.0,32.0,5.0
Kue Tambang ,512.0,26.0,60.4,26.0
Kue thipan,247.0,2.9,49.5,4.2
Kulit melinjo,111.0,4.5,20.7,1.1
Kundur segar,22.0,0.4,4.7,0.2
Kunyit,63.0,2.0,9.1,2.7
Kura-kura,83.0,19.1,0.0,0.2
Kwaci,515.0,30.6,13.8,42.1
Kwark (Quark),242.0,19.0,3.0,17.0
Labu Air,17.0,0.6,3.8,0.2
Labu kuning segar,51.0,1.7,10.0,0.5
Labu Siam,26.0,0.6,6.7,0.1
Labu waluh segar,32.0,1.1,6.6,0.1
Laksa ,166.3,2.7,29.5,3.9
Lamtoro (pete cina) biji muda,85.0,5.7,15.4,0.3
Lamtoro biji tua,148.0,10.6,26.2,0.5
Lamtoro tempe,142.0,11.0,20.4,2.5
Lamtoro var. gung tanpa kulit,367.0,46.4,32.5,5.4
Lamtoro var. lokal dengan kulit,336.0,23.8,59.7,1.2
Langsat,56.0,0.9,14.3,0.2
Lantar segar,34.0,2.2,5.5,0.3
Lanting getuk,422.0,0.9,80.4,10.8
Lapis legit,389.0,6.6,55.5,15.7
Lawar babi masakan,174.0,17.0,3.0,10.0
Lawar penyu masakan,141.0,23.0,7.6,1.5
Lawara jangang masakan,159.0,5.0,10.1,10.9
Lawara penjah masakan,207.0,7.4,9.6,15.4
Ledre pisang,405.0,4.8,84.9,5.1
Lema/ Rebung asam,15.0,1.0,1.9,0.4
Lemak Babi,902.0,0.0,0.0,100.0
Lemak Babi (Bacon),630.0,9.1,1.1,65.0
Lemak ikan,372.0,12.0,14.4,29.4
Lemak Kerbau,818.0,1.5,0.0,90.0
Lemon segar,34.0,0.5,6.2,0.8
Lemon Squasih,36.0,0.0,10.0,0.0
Lemonade,30.0,0.0,8.0,0.0
Lemper ,221.3,3.8,43.4,3.6
Lempog durian,320.0,3.5,63.7,5.7
Lepok/Ubi rumput,181.0,2.8,39.8,1.2
Leunca buah,33.0,1.9,7.4,0.1
Leupeut Ketan ,240.0,7.8,51.3,0.5
Leverwost (sosis hati),387.0,16.0,3.0,22.0
Lilin bungkus gedi,79.0,2.3,5.8,5.2
Lobak,19.0,0.9,4.2,0.1
Lokan segar,217.0,11.0,5.1,1.7
Lontar segar,27.0,0.4,6.0,0.2
Lopis ,163.3,2.8,33.0,2.2
Lumai/Leunca segar,38.0,1.1,7.6,0.3
Lupis ketan,164.0,1.8,34.5,2.1
Madu,294.0,0.3,79.5,0.0
Maizena tepung,341.0,0.3,85.0,0.0
Makaroni,363.0,8.7,78.7,0.4
Mangga benggala segar,63.0,2.4,12.4,0.4
Mangga Gedong,44.0,0.7,11.2,0.2
Mangga Golek,63.0,0.5,16.7,0.2
Mangga Harum Manis,46.0,0.4,11.9,0.2
Mangga Indramayu,72.0,0.8,18.7,0.2
Mangga Kopek,56.0,0.4,14.6,0.2
Mangga kwini segar,86.0,0.7,19.8,0.5
Mangga manalagi segar,133.0,1.0,32.1,0.1
Mangga Muda,59.0,0.5,15.1,0.4
Mangga segar,52.0,0.7,12.3,0.0
Manggis,63.0,0.6,15.6,0.6
Margarin,720.0,0.6,0.4,81.0
Markisa segar,144.0,3.5,29.8,1.2
Markisa squash,217.0,2.5,49.6,1.0
Markisa squash BD,104.0,1.2,23.7,0.5
Martabak  manis,265.3,4.7,49.3,5.5
Martabak india,153.0,4.5,24.3,4.2
Martabak mesir,278.0,5.1,45.0,8.6
Martabak Telur ,200.0,8.9,29.5,5.1
Masekat,369.0,2.1,74.1,7.0
Matoa segar,90.0,1.2,21.1,0.1
Melase,276.0,0.0,71.0,0.1
Melinjo,66.0,5.0,13.3,0.7
Melon segar,37.0,0.6,7.8,0.4
Menjangan daging dendeng mentah,322.0,55.8,22.7,2.0
Mentega,725.0,0.5,1.4,81.6
Menteng,65.0,1.7,16.1,0.2
Merica,359.0,11.5,64.4,6.8
Mi basah,88.0,0.6,14.0,3.3
Mi golosor,71.0,0.2,15.9,0.8
Mi kering,339.0,10.0,6.3,1.7
Mie aceh rebus,113.0,3.0,18.1,3.2
Mie ayam,102.0,6.2,10.5,3.9
Mie bakso,114.0,5.3,16.4,3.0
Mie basah,86.0,0.6,14.0,3.3
Mie Bendo,353.0,0.3,88.0,0.0
Mie celon,102.0,3.0,17.8,2.1
Mie Goreng ,468.0,7.6,62.4,20.4
Mie kering,337.0,7.9,50.0,11.8
Mie pangsit basah,105.0,5.9,9.4,4.9
Mie Sagu,190.0,0.2,46.5,0.4
Minyak Hati Hiu (Eulamia),902.0,0.0,0.0,100.0
Minyak Ikan,902.0,0.0,0.0,100.0
Minyak Kacang Tanah,902.0,0.0,0.0,100.0
Minyak kedelai,883.0,0.0,0.0,99.9
Minyak Kelapa,870.0,1.0,0.0,98.0
Minyak Kelapa Sawit,902.0,0.0,0.0,100.0
Minyak Wijen,902.0,0.0,0.0,100.0
Minyak Zaitun,884.0,0.0,0.0,100.0
Misoa,345.0,8.5,78.0,2.2
Misro ,218.0,0.8,50.2,16.0
Moon tahu,128.0,8.0,1.3,10.0
Mostarda metan -sawi,33.0,2.3,4.7,0.5
Mujahir acar kuning masakan,330.0,17.8,12.1,23.4
Naan maran sapi masakan,478.0,38.3,5.1,33.9
Nanas,52.0,0.4,13.7,0.2
Nanas palembang segar,58.0,0.7,13.3,0.2
Nangka biji,165.0,4.2,36.7,0.1
Nangka masak di pohon,106.0,1.2,27.6,0.3
Nangka Muda,51.0,2.0,11.3,0.4
Nasi,180.0,3.0,39.8,0.3
Nasi beras merah,149.0,2.8,32.5,0.4
Nasi gemuk,192.0,3.8,24.4,8.8
Nasi Goreng ,276.0,3.2,30.2,3.2
Nasi gurih,190.0,4.7,26.0,7.5
Nasi jagung,357.0,8.8,79.5,0.5
Nasi minyak,207.0,3.5,37.1,5.0
Nasi rames,155.0,10.3,19.1,4.2
Nasi tim,120.0,2.4,26.0,0.4
Nasi Uduk ,253.3,4.3,11.7,21.0
Nasu likku masakan,196.0,14.5,15.9,8.3
Noga Kacang Tanah ,600.0,14.0,42.0,41.7
Nopia spesial,387.0,5.3,74.3,7.6
Olah-olah,9.0,2.1,7.1,6.0
Oncom,187.0,13.0,22.6,6.0
Oncom ampas kacang hijau,376.0,14.9,65.7,6.0
Oncom Goreng ,363.3,19.3,40.3,19.3
Oncom Hitam Goreng ,284.0,12.0,13.6,14.4
Oncom Hitam Goreng bertepung ,306.7,9.0,27.0,18.0
Oncom kacang hijau + singkong,351.0,11.0,65.9,5.3
Oncom Kacang Tanah pepes,132.0,12.7,13.7,3.8
Oncom Kedele,187.0,13.0,22.6,6.0
Oncom Merah Goreng ,368.0,6.8,13.2,32.0
Oncom Merah Goreng bertepung ,320.0,7.3,31.0,18.7
Oncom Merah Sayur (tumis) ,40.0,2.0,3.0,2.0
Oncom pepes,76.0,5.2,10.6,1.8
Onde-onde ,288.6,8.3,44.3,8.9
Ongol-ongol ,115.0,1.5,14.0,6.0
Ongol-ongol sagu,111.0,0.3,21.2,2.7
Opak Singkong ,940.0,36.0,104.0,42.0
Oramu ninahu ndawa olaho masakan,117.0,13.7,4.3,5.0
Otak,125.0,10.4,0.8,8.6
Oyek,351.0,0.9,84.9,0.9
Oyek (dari singkong),342.0,2.3,83.1,0.1
Paku hinela wulelenggapaya,77.0,3.5,5.4,4.6
Pala biji,494.0,7.5,40.1,36.4
Pala daging,42.0,0.3,10.9,0.2
Paniki masak santan masakan,460.0,28.5,7.2,35.2
Papais ,133.8,3.0,27.0,1.6
Papeda,61.0,0.2,14.9,0.1
Parede baleh masakan,87.0,10.5,5.5,2.5
Paria (Pare),29.0,1.1,6.6,0.3
Paria Putih kukus,16.0,0.8,3.4,0.2
Paria putih segar,19.0,1.0,3.6,0.4
Pastel,307.0,4.5,42.4,13.3
Pati Singkong (tapioka),362.0,0.5,86.9,0.3
Pe-Cay,23.0,1.8,4.5,0.3
Peda Ikan Banjar,156.0,28.0,0.0,4.0
Pelecing kangkung,75.0,2.5,10.0,2.8
Pelepah manuk masakan,219.0,19.7,4.4,13.6
Pempek adaan,162.0,4.9,27.8,3.0
Pempek belida,156.0,4.2,31.6,1.4
Pempek kapal selam,152.0,4.5,28.2,2.3
Pempek kelesan,211.0,12.3,26.6,6.1
Pempek kulit,243.0,5.2,39.1,7.3
Pempek tenggiri,173.0,7.2,33.4,1.2
Pencok lele masakan,372.0,7.8,3.5,36.3
Penyu serapah masakan,174.0,13.1,2.2,12.2
Pepare ular segar,19.0,0.6,3.9,0.1
Pepaya lodeh,275.0,11.6,30.2,11.6
Pepaya Muda,26.0,2.1,4.9,0.1
Pepaya segar,46.0,0.5,12.2,12.0
Pepea oncom ampas tahu,76.0,5.2,10.6,1.8
Permen ,400.0,0.0,95.0,0.0
Pete Segar,142.0,10.4,22.0,2.0
Peterseli,50.0,3.7,9.0,1.0
Petis Ikan,161.0,20.0,24.0,0.2
Petis Udang,220.0,15.0,40.0,0.1
Petis udang kering,345.0,23.8,59.3,1.4
Petis udang pasta,220.0,15.0,38.0,0.9
Pilus ,514.0,1.0,647.0,27.8
Pinda masakan,107.0,15.9,0.4,0.6
Pindang Ikan Banjar,157.0,28.0,0.0,4.2
Pindang Ikan Benggol,170.0,31.0,0.0,4.2
Pindang Ikan Layang,153.0,30.0,0.0,2.8
Pindang Ikan Selar Kecil,142.0,27.0,0.0,3.0
Pindang kenari masakan,124.0,9.5,0.0,9.6
Pisang Ambon,99.0,1.2,25.8,0.2
Pisang angleng (pisang ampyang) segar,68.0,1.3,17.2,0.2
Pisang ayam segar,120.0,1.1,26.8,0.2
Pisang gapi segar ,127.0,2.1,31.1,0.3
Pisang Goreng ,220.0,2.3,6.3,2.3
Pisang goroho segar,115.0,1.9,27.9,0.2
Pisang hijau segar,117.0,2.0,28.9,0.3
Pisang kayu segar,100.0,1.4,23.6,0.5
Pisang kepok segar,109.0,0.8,26.3,0.5
Pisang ketip segar,145.0,1.1,34.5,0.3
Pisang kidang segar,96.0,1.0,22.5,0.2
Pisang Lampung,99.0,1.3,25.6,0.2
Pisang Mas,127.0,1.4,33.6,0.2
Pisang mas bali,127.0,1.4,31.8,0.2
Pisang Oli,134.0,1.1,35.5,0.5
Pisang Raja,120.0,1.2,31.8,0.2
Pisang Raja Sere (Susu),118.0,1.2,31.1,0.2
Pisang rotan segar,98.0,1.3,20.5,1.2
Pisang Siam goreng,625.0,1.0,8.1,0.0
Pisang talas segar,113.0,1.2,26.7,0.2
Prey (bawang daun),45.0,2.2,10.3,0.3
Pucuk lumai/daun leunca segar,33.0,4.5,2.8,0.4
Pulut,216.0,2.6,44.4,3.1
Punai daging goreng,224.0,26.2,4.4,11.3
Pundut nasi,104.0,1.9,15.1,4.1
Purundawa,25.0,1.5,3.6,0.5
Purut segar,76.0,4.1,15.2,1.1
Putri malu segar,76.0,3.6,14.6,0.3
Putri selat,163.0,2.2,23.8,6.5
Putu Mayang ,200.0,1.0,43.8,2.4
Ragi,136.0,43.0,3.0,2.4
Rajungan segar,76.0,12.1,2.4,2.0
Rambutan,69.0,0.9,18.1,0.1
Rambutan Aceh,11.0,0.0,2.7,0.0
Rambutan binjai segar,76.0,0.5,18.0,0.2
Rambutan sinyonya,4.0,0.0,0.9,0.0
Rarawuan ,295.0,7.3,47.5,8.5
Rasbi (Beras Ubi),394.0,2.2,76.6,8.8
Rasi (Beras Singkong),350.0,0.9,85.7,0.4
Rawon masakan,60.0,5.4,4.0,2.5
Rebon (udang kecil segar),81.0,16.2,0.7,1.2
Rebon kering,299.0,29.4,3.2,3.6
Rebon udang kecil segar,81.0,16.2,0.7,1.2
Rebung,27.0,0.6,5.2,0.3
Rebung laut mentah,320.0,7.2,63.3,4.2
Rempeyek kacang tolo,451.0,11.2,59.7,20.2
Rempeyek kacang uci,497.0,17.0,50.8,27.6
Rendang sapi masakan,193.0,22.6,7.8,7.9
Renggi goreng,471.0,4.7,64.1,21.8
Rimbang segar,75.0,1.6,15.8,0.6
Risoles ,335.0,5.3,70.5,3.5
Roti boong,341.0,5.5,43.3,16.2
Roti Gambang ,350.0,7.5,75.5,2.0
Roti Putih,248.0,8.0,50.0,1.2
Roti warna sawo matang,249.0,7.9,49.7,1.5
Rujak cingur,153.0,11.3,8.0,8.4
Rumput laut,41.0,1.4,8.1,0.3
Rusa daging dendeng mentah,536.0,40.5,0.0,41.5
Rusip,110.0,11.5,11.7,2.0
RW anjing masakan,198.0,24.6,0.9,10.7
Saga biji tanpa kulit,449.0,30.6,31.9,25.5
Sagu Ambon ,338.0,0.6,83.1,0.3
Sagu aren kering,355.0,0.6,85.6,1.1
Sagu aren segar,231.0,0.6,56.6,0.2
Sagu forno,291.0,0.5,63.4,4.0
Sagu kasbi segar,230.0,0.6,56.5,0.2
Sagu Lemak (Kue Sagon),452.0,2.8,76.8,14.8
Sagu lempeng,347.0,0.9,85.2,0.3
Sagu Rendang,364.0,0.1,90.5,0.2
Sagu singkong kering,362.0,0.5,86.9,0.3
Sagu sinole,354.0,0.8,68.9,8.3
Salak bali segar,57.0,0.5,13.6,0.1
Salak medan segar,55.0,0.4,12.8,0.2
Salak pondoh segar,87.0,0.8,20.1,0.4
Sale pisang siam,281.0,2.4,66.1,0.7
Santan (dengan air),122.0,2.0,7.6,10.0
Santan (kelapa saja),324.0,4.2,55.6,34.3
Santan murni,324.0,4.2,5.6,34.3
Saos Tomat,98.0,2.0,24.5,0.4
Sapi abon,212.0,18.0,59.3,10.6
