,kalori,protein,karbohidrat,lemak
Beras Ketan Putih tumbuk,361.0,7.4,78.4,0.8
Beras ketan putih tumbuk mentah,361.0,7.4,78.4,0.8
Beras ladang mentah,376.0,7.5,78.0,3.8
Beras Menir,339.0,7.7,73.0,4.4
Beras menir mentah,362.0,7.7,73.0,4.4
Beras Merah tumbuk,359.0,7.5,77.6,0.9
Beras Parboiled,364.0,6.8,80.1,0.6
Beras parboiled,353.0,6.8,80.0,0.6
Beras Pecah Kulit,335.0,7.4,76.2,1.9
Beras Setengah Giling,363.0,7.6,78.3,1.1
Beras Siger,344.0,1.1,28.3,0.2
Beras tumbuk mentah,354.0,7.8,79.9,0.4
Beras tumbuk merah mentah,352.0,7.3,76.2,0.9
Betok wadi masakan,145.0,16.3,4.1,7.0
Bihun,360.0,4.7,82.1,0.1
Bihun Goreng ,154.0,3.0,25.5,4.5
Bihun goreng instan,381.0,6.1,80.3,3.9
Bihun Jagung mentah,354.0,0.5,87.4,0.3
Bihun mentah,348.0,4.7,82.1,0.1
Biji Jambu Mete,562.0,21.2,23.6,49.6
Biji Jambu Mete goreng,629.0,21.5,19.8,56.6
Biji nangka/Biji salak,262.0,2.3,51.1,5.4
Bika ambon,199.0,2.1,44.4,1.5
Bika Ambon ,225.7,3.0,52.9,0.3
Bir (4% alkohol),48.0,0.6,4.4,0.0
Biskuit,458.0,6.9,75.1,14.4
Bit,42.0,1.6,9.6,0.1
Biwah segar,51.0,0.3,12.1,0.1
Bonggol Pisang,43.0,2.6,11.6,0.0
Bonggol Pisang kering,245.0,3.4,66.2,0.0
Bongkrek (tempe bungkil),119.0,4.4,18.3,3.5
Boros Kunci,23.0,1.0,7.2,0.8
Boros Laja (lengkuas),22.0,1.0,4.7,0.3
Botok lamtoro,186.0,11.7,13.0,9.7
Brem,249.0,3.4,58.0,0.4
Brondong ,400.0,4.0,95.3,0.7
Brongkos,141.0,15.3,12.6,3.3
Buah Atung,23.0,0.8,5.2,0.2
Buah kelenting segar,110.0,1.4,21.4,2.1
Buah kelor,38.0,1.5,7.5,0.2
Buah kom segar,264.0,4.0,59.6,1.1
Buah Mentega (bisbul),39.0,0.7,9.7,0.2
Buah merah,87.0,2.6,13.1,2.7
Buah Naga Merah segar,71.0,1.7,9.1,3.1
Buah Naga Putih segar,56.0,0.8,10.9,1.0
Buah negri segar,55.0,1.2,12.2,0.1
Buah Nona,101.0,1.7,25.2,0.6
Buah rotan segar,78.0,0.6,18.2,0.3
Buah rukam segar,113.0,0.8,26.8,0.3
Buah ruruhi segar,29.0,2.1,3.6,0.7
Buah tuppa segar,67.0,0.4,15.9,0.2
Buaya daging dendeng mentah,365.0,49.6,30.8,4.8
Bubur ,60.0,1.0,13.0,60.0
Bubur sagu,167.0,0.2,33.0,4.0
Bubur tinotuan (Manado),156.0,2.3,15.6,0.2
Bulgogi masakan,72.0,11.4,1.4,4.9
Bulung Jajan,212.0,16.9,47.6,0.2
Bulung Sangu,237.0,14.7,56.0,0.2
Buncis,35.0,2.4,7.7,0.2
Buncis asam,60.0,5.1,8.5,0.5
Buncis rebus,30.0,2.2,6.4,0.2
Bunga pepaya segar,45.0,2.6,8.1,0.3
Bunga turi segar,42.0,2.0,6.1,1.1
Bungkil Biji Karet,333.0,29.3,50.0,3.3
Bungkil Kacang Tanah,336.0,37.4,30.5,13.0
Bungkil Kelapa,368.0,23.0,40.0,15.0
Buntil ,106.0,4.4,7.9,6.3
Buntil daun talas,141.0,4.4,8.0,10.2
Buras ,125.7,3.3,23.9,1.9
Burung sarang segar,281.0,37.5,32.1,0.3
Cabai gembor merah segar,38.0,1.6,6.3,0.8
Cabai hijau segar,26.0,0.7,5.2,0.3
Cabai merah kering,367.0,15.9,61.8,6.2
Cabai merah segar,36.0,1.0,7.3,0.3
Cabai rawit segar,120.0,4.7,19.9,2.4
Caisin segar,20.0,1.7,3.4,0.4
Cakalang asar (asap papua),155.0,20.1,10.2,3.8
Cake tape,323.0,4.9,50.1,11.5
Cammetutu,102.0,3.2,8.7,6.0
Cantel mentah,366.0,11.0,73.0,3.3
Cap cai sayur,97.0,5.8,4.2,6.3
Carica papaya segar,24.0,1.9,3.7,0.2
Cassavastick,460.0,0.8,17.2,18.7
Cempedak,116.0,3.0,28.6,0.4
Cengkeh kering,330.0,5.2,57.4,8.9
Centel,332.0,11.0,73.0,3.3
Ceriping getuk singkong,462.0,1.2,67.7,20.7
Chicken teriyaki masakan,168.0,13.0,7.5,9.6
Chikiniku masakan,143.0,9.8,22.8,1.4
Coklat bubuk,311.0,8.0,48.9,4.0
Coklat Manis batang,472.0,2.0,62.7,29.8
Coklat Pahit batang,504.0,5.5,29.2,52.9
Coklat Susu batang,381.0,9.0,53.6,35.0
Combro ,210.0,1.6,35.8,6.6
Corned Beef,241.0,16.0,0.0,25.0
Coto mangkasara kuda masakan,96.0,6.8,3.8,5.9
Coto mangkasara sapi masakan,84.0,6.0,1.4,6.0
Cue Selar Kuning,145.0,27.0,0.0,2.3
Cuka,12.0,0.1,5.0,0.1
Cumi-cumi goreng,265.0,40.6,0.0,10.1
Cumi-cumi segar,75.0,16.1,0.1,0.7
Daging Anak Sapi,190.0,19.1,0.0,12.0
Daging Asap,191.0,32.0,0.0,6.0
Daging Babi Gemuk,457.0,11.6,0.0,45.0
Daging Babi Kurus,376.0,14.1,0.0,35.0
Daging Domba,206.0,17.1,0.0,14.8
Daging Kambing,154.0,16.6,0.0,9.2
Daging Kerbau,84.0,18.7,0.0,0.5
Daging Kuda,118.0,18.1,0.9,4.1
Daging Sapi,207.0,18.8,0.0,14.0
Daun bangun-bangun segar,27.0,1.3,4.0,0.6
Daun Bawang,29.0,1.8,5.2,0.7
Daun bawang  merah segar,41.0,2.0,7.8,0.3
Daun bebuas segar,41.0,2.7,7.3,1.0
Daun belem segar,50.0,4.4,7.8,1.4
Daun Beluntas,42.0,1.8,9.4,0.5
Daun Cincau,122.0,6.0,26.0,1.0
Daun Gandaria,60.0,3.1,14.0,0.3
Daun gedi besar segar,58.0,2.9,10.0,0.7
Daun gelang segar,30.0,1.3,5.8,0.7
Daun gunda bali segar,50.0,4.6,7.0,0.9
Daun gunda serang segar,62.0,4.2,9.2,0.9
Daun Jambu Mete muda,73.0,4.6,16.2,0.5
Daun jampang segar,34.0,3.8,5.3,0.5
Daun jawaw seluang segar,93.0,5.0,15.3,1.3
Daun jonghe segar,27.0,2.1,4.4,0.7
Daun kacang ma segar,36.0,2.9,6.8,0.6
Daun Kacang Panjang,34.0,4.1,5.8,0.4
Daun Kacang Panjang kukus,40.0,3.7,8.0,0.3
Daun kacang panjang segar,30.0,3.1,5.8,0.3
Daun kasbi/singkong karet segar,92.0,4.0,10.9,3.6
Daun Katuk,59.0,4.8,11.0,1.0
